codigo_alumno,codigo_docente,semestre_asignacion,activo
110071,D001,2026-I,1
184197,D001,2026-I,1
210920,D001,2026-I,1
215783,D001,2026-I,1
221945,D001,2026-I,1
225554,D001,2026-I,1
240776,D001,2026-I,1
241441,D001,2026-I,1
241442,D001,2026-I,1
242128,D001,2026-I,1
253437,D001,2026-I,1
262383,D001,2026-I,1
193817,D002,2026-I,1
242223,D002,2026-I,1
246186,D002,2026-I,1
246191,D002,2026-I,1
250884,D002,2026-I,1
251810,D002,2026-I,1
251811,D002,2026-I,1
251812,D002,2026-I,1
252311,D002,2026-I,1
252312,D002,2026-I,1
252313,D002,2026-I,1
182727,D003,2026-I,1
200825,D003,2026-I,1
210922,D003,2026-I,1
210924,D003,2026-I,1
211858,D003,2026-I,1
211860,D003,2026-I,1
231449,D003,2026-I,1
241443,D003,2026-I,1
246183,D003,2026-I,1
246184,D003,2026-I,1
246185,D003,2026-I,1
254156,D003,2026-I,1
164257,D004,2026-I,1
183485,D004,2026-I,1
184194,D004,2026-I,1
210413,D004,2026-I,1
215326,D004,2026-I,1
216061,D004,2026-I,1
224870,D004,2026-I,1
224871,D004,2026-I,1
225421,D004,2026-I,1
240775,D004,2026-I,1
245579,D004,2026-I,1
134403,D005,2026-I,1
141002,D005,2026-I,1
171569,D005,2026-I,1
182977,D005,2026-I,1
210937,D005,2026-I,1
215817,D005,2026-I,1
230249,D005,2026-I,1
231907,D005,2026-I,1
234892,D005,2026-I,1
240443,D005,2026-I,1
240772,D005,2026-I,1
262382,D005,2026-I,1
141632,D006,2026-I,1
184193,D006,2026-I,1
220548,D006,2026-I,1
230602,D006,2026-I,1
231542,D006,2026-I,1
231816,D006,2026-I,1
231868,D006,2026-I,1
242108,D006,2026-I,1
246197,D006,2026-I,1
246198,D006,2026-I,1
260867,D006,2026-I,1
261272,D006,2026-I,1
145003,D007,2026-I,1
151696,D007,2026-I,1
192426,D007,2026-I,1
204792,D007,2026-I,1
215719,D007,2026-I,1
221540,D007,2026-I,1
225417,D007,2026-I,1
241566,D007,2026-I,1
241663,D007,2026-I,1
245581,D007,2026-I,1
246205,D007,2026-I,1
252320,D007,2026-I,1
111276,D008,2026-I,1
182917,D008,2026-I,1
210927,D008,2026-I,1
225491,D008,2026-I,1
230601,D008,2026-I,1
231453,D008,2026-I,1
234895,D008,2026-I,1
241447,D008,2026-I,1
251290,D008,2026-I,1
253438,D008,2026-I,1
254108,D008,2026-I,1
192423,D009,2026-I,1
200785,D009,2026-I,1
215882,D009,2026-I,1
220213,D009,2026-I,1
220214,D009,2026-I,1
230971,D009,2026-I,1
231446,D009,2026-I,1
241438,D009,2026-I,1
245576,D009,2026-I,1
246193,D009,2026-I,1
261274,D009,2026-I,1
050495,D010,2026-I,1
200858,D010,2026-I,1
211358,D010,2026-I,1
220547,D010,2026-I,1
225239,D010,2026-I,1
225455,D010,2026-I,1
231535,D010,2026-I,1
240445,D010,2026-I,1
242104,D010,2026-I,1
245577,D010,2026-I,1
260863,D010,2026-I,1
171571,D011,2026-I,1
184206,D011,2026-I,1
195048,D011,2026-I,1
215784,D011,2026-I,1
215786,D011,2026-I,1
221448,D011,2026-I,1
221461,D011,2026-I,1
225359,D011,2026-I,1
231444,D011,2026-I,1
242103,D011,2026-I,1
254142,D011,2026-I,1
161809,D012,2026-I,1
200886,D012,2026-I,1
215948,D012,2026-I,1
221986,D012,2026-I,1
224872,D012,2026-I,1
224873,D012,2026-I,1
224874,D012,2026-I,1
225423,D012,2026-I,1
225425,D012,2026-I,1
242136,D012,2026-I,1
261795,D012,2026-I,1
140984,D013,2026-I,1
161534,D013,2026-I,1
164246,D013,2026-I,1
200341,D013,2026-I,1
215422,D013,2026-I,1
221444,D013,2026-I,1
230173,D013,2026-I,1
231443,D013,2026-I,1
231448,D013,2026-I,1
235395,D013,2026-I,1
241448,D013,2026-I,1
150400,D014,2026-I,1
164244,D014,2026-I,1
182069,D014,2026-I,1
211265,D014,2026-I,1
215939,D014,2026-I,1
221443,D014,2026-I,1
225418,D014,2026-I,1
230251,D014,2026-I,1
235390,D014,2026-I,1
241875,D014,2026-I,1
261803,D014,2026-I,1
231469,D015,2026-I,1
242205,D015,2026-I,1
250491,D015,2026-I,1
250492,D015,2026-I,1
250881,D015,2026-I,1
250882,D015,2026-I,1
250883,D015,2026-I,1
251283,D015,2026-I,1
251284,D015,2026-I,1
251809,D015,2026-I,1
261793,D015,2026-I,1
103179,D016,2026-I,1
200332,D016,2026-I,1
204809,D016,2026-I,1
225461,D016,2026-I,1
231866,D016,2026-I,1
231929,D016,2026-I,1
232317,D016,2026-I,1
235389,D016,2026-I,1
235393,D016,2026-I,1
245893,D016,2026-I,1
262380,D016,2026-I,1
081561,D017,2026-I,1
121938,D017,2026-I,1
154630,D017,2026-I,1
174941,D017,2026-I,1
220650,D017,2026-I,1
230604,D017,2026-I,1
235433,D017,2026-I,1
250494,D017,2026-I,1
250495,D017,2026-I,1
251285,D017,2026-I,1
252317,D017,2026-I,1
211311,D018,2026-I,1
215275,D018,2026-I,1
215733,D018,2026-I,1
216062,D018,2026-I,1
220552,D018,2026-I,1
221451,D018,2026-I,1
230603,D018,2026-I,1
230973,D018,2026-I,1
242107,D018,2026-I,1
242157,D018,2026-I,1
245580,D018,2026-I,1
112207,D019,2026-I,1
174449,D019,2026-I,1
193109,D019,2026-I,1
210178,D019,2026-I,1
224869,D019,2026-I,1
