,precision,recall,f1-score,support
Agradecimiento,1.0,0.8888888888888888,0.9411764705882353,18.0
Cursos_Bloqueados,1.0,1.0,1.0,8.0
Cursos_Semestre,1.0,1.0,1.0,16.0
General,1.0,0.79,0.88268156424581,100.0
Info_Alumno,0.7878787878787878,0.9629629629629629,0.8666666666666667,27.0
Info_Curso_Atributos,0.5,1.0,0.6666666666666666,18.0
Info_Tutor,0.8571428571428571,0.6666666666666666,0.75,18.0
Saludo,0.9636363636363636,0.9814814814814815,0.9724770642201835,54.0
Tramites,0.9,1.0,0.9473684210526315,18.0
accuracy,0.8880866425992779,0.8880866425992779,0.8880866425992779,0.8880866425992779
macro avg,0.8898508898508898,0.921111111111111,0.8918929837155771,277.0
weighted avg,0.9239626799193585,0.8880866425992779,0.8941361947364856,277.0
